"cnt","sumnof","sumnoa","minbn","maxbn","received_time","run_id"
3,0,0,195,197,"2022-07-19 21:11:47+02","4000000-quorumConfiguration-sb-sendPayment-40-flalv-rn-1-hetzner-repid-4-quorum-rl-400-ib-5"
1,100,100,92,92,"2022-07-24 11:22:24+02","4000000-sawtoothConfiguration-sb-sendPayment-40-flalv-rn-1-hetzner-repid-5-sawtooth-rl-200-notpbpc-100-nobpc-1-maxbtperbl-100000-notppc-100-cpbftbpd-10"
6,5778,5778,117,119,"2022-07-19 23:23:00+02","4000000-quorumConfiguration-sb-createAccount-40-flalv-rn-1-hetzner-repid-7-quorum-rl-400-ib-5"
3,3292,3292,105,106,"2022-07-20 09:43:55+02","4000000-quorumConfiguration-sb-createAccount-40-flalv-rn-1-hetzner-repid-8-quorum-rl-400-ib-5"
3,0,0,354,356,"2022-07-19 22:12:28+02","4000000-quorumConfiguration-sb-balance-40-flalv-rn-1-hetzner-repid-5-quorum-rl-400-ib-5"
8,800,800,305,306,"2022-07-19 10:18:59+02","4000000-fabricConfiguration-sb-createAccount-40-flalv-rn-1-hetzner-repid-4-fabric-rl-50-mm-100"
4,2000,2000,505,505,"2022-07-19 11:01:27+02","4000000-fabricConfiguration-sb-balance-40-flalv-rn-1-hetzner-repid-4-fabric-rl-100-mm-500"
10,50,5000,455,464,"2022-07-18 20:56:41+02","4000000-grapheneConfiguration-sb-sendPayment-40-flalv-rn-1-hetzner-repid-4-graphene-rl-400-bi-2-opt-100-notpc-1"
4,1600,1600,13,13,"2022-07-23 15:36:59+02","4000000-sawtoothConfiguration-keyvalue-set-40-flalv-rn-1-hetzner-repid-6-sawtooth-rl-400-notpbpc-100-nobpc-1-maxbtperbl-100000-notppc-100-cpbftbpd-2"
1,100,100,193,193,"2022-07-24 14:20:17+02","4000000-sawtoothConfiguration-sb-balance-40-flalv-rn-1-hetzner-repid-7-sawtooth-rl-200-notpbpc-100-nobpc-1-maxbtperbl-100000-notppc-100-cpbftbpd-10"
3,6000,6000,20,26,"2022-07-19 11:25:24+02","4000000-fabricConfiguration-sb-createAccount-40-flalv-rn-1-hetzner-repid-4-fabric-rl-400-mm-2000"
4,2000,2000,665,665,"2022-07-19 11:04:47+02","4000000-fabricConfiguration-sb-balance-40-flalv-rn-1-hetzner-repid-4-fabric-rl-100-mm-500"
1,996,996,98,98,"2022-07-19 21:51:08+02","4000000-quorumConfiguration-sb-createAccount-40-flalv-rn-1-hetzner-repid-5-quorum-rl-400-ib-5"
3,6000,6000,476,487,"2022-07-19 11:51:46+02","4000000-fabricConfiguration-sb-balance-40-flalv-rn-1-hetzner-repid-4-fabric-rl-400-mm-2000"
3,300,300,262,262,"2022-07-24 14:22:28+02","4000000-sawtoothConfiguration-sb-balance-40-flalv-rn-1-hetzner-repid-7-sawtooth-rl-200-notpbpc-100-nobpc-1-maxbtperbl-100000-notppc-100-cpbftbpd-10"
1,0,0,31,31,"2022-07-19 18:00:37+02","4000000-quorumConfiguration-donothing-doNothing-40-flalv-rn-1-hetzner-repid-4-quorum-rl-100-ib-10"
